epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7545,1.52411,3.77973,1.44708,0.00222,0.66667,0.18327,0.08431,1.49023,4.27775,1.27006,0.00014,0.00014,0.00014
2,42.1701,1.38658,2.69124,1.23644,0.00278,0.83333,0.43461,0.22809,1.42526,3.84936,1.13087,0.00029406,0.00029406,0.00029406
3,63.4963,1.33221,2.16914,1.16109,0.00278,0.83333,0.37614,0.20864,1.54504,3.89466,1.15603,0.000441784,0.000441784,0.000441784
4,85.2241,1.40745,2.01753,1.1671,0.00322,0.96667,0.32197,0.15021,1.52346,3.87058,1.16404,0.000583172,0.000583172,0.000583172
5,106.697,1.43497,1.86946,1.16958,0.00256,0.76667,0.11405,0.06268,1.6818,4.3201,1.32856,0.000718224,0.000718224,0.000718224
6,128.328,1.43121,1.88137,1.20175,0.00211,0.63333,0.06782,0.02481,1.89423,4.52877,1.42715,0.00084694,0.00084694,0.00084694
7,150.539,1.43496,1.90932,1.25289,0.00256,0.76667,0.07555,0.05256,1.84371,4.28299,1.40796,0.00096932,0.00096932,0.00096932
8,171.495,1.37504,1.78398,1.20146,0.00458,0.63333,0.22766,0.11926,1.69471,3.77006,1.2331,0.00108536,0.00108536,0.00108536
9,192.985,1.40153,1.70186,1.22351,0.76472,0.23333,0.29541,0.12682,1.7274,3.53781,1.24576,0.00119507,0.00119507,0.00119507
10,214.523,1.40358,1.64474,1.22554,0.58535,0.28291,0.34779,0.15027,1.64449,3.3023,1.28293,0.00129844,0.00129844,0.00129844
11,235.777,1.34118,1.54317,1.20224,0.53113,0.53333,0.54426,0.2832,1.60364,2.92348,1.31603,0.00139548,0.00139548,0.00139548
12,258.238,1.35796,1.54253,1.21689,0.54827,0.64753,0.61484,0.33253,1.58597,2.68271,1.30933,0.00148618,0.00148618,0.00148618
13,280.002,1.33873,1.46989,1.22036,0.50611,0.66667,0.51843,0.2709,1.65299,2.57742,1.31345,0.0015248,0.0015248,0.0015248
14,302.09,1.35994,1.55025,1.25352,0.5846,0.6,0.53714,0.24402,1.73674,2.46265,1.26398,0.0014852,0.0014852,0.0014852
15,323.493,1.29501,1.45186,1.1936,0.67032,0.6,0.57885,0.3087,1.68658,2.31339,1.27093,0.0014456,0.0014456,0.0014456
16,343.811,1.33491,1.42317,1.18516,0.48768,0.53333,0.47389,0.24244,1.74991,2.69496,1.37107,0.001406,0.001406,0.001406
17,364.028,1.2431,1.33771,1.15781,0.69327,0.46667,0.56185,0.33105,1.62269,2.21647,1.36321,0.0013664,0.0013664,0.0013664
18,384.974,1.26742,1.26834,1.15567,0.82418,0.63333,0.72282,0.37386,1.66132,2.02149,1.3805,0.0013268,0.0013268,0.0013268
19,405.574,1.28498,1.21765,1.15022,0.60339,0.56667,0.6252,0.33172,1.63763,2.48267,1.31899,0.0012872,0.0012872,0.0012872
20,426.929,1.23831,1.22063,1.1711,0.69694,0.61356,0.63381,0.33893,1.64151,2.16674,1.36929,0.0012476,0.0012476,0.0012476
21,448.424,1.22058,1.21579,1.14613,0.93743,0.66667,0.77744,0.38101,1.68614,1.75575,1.34148,0.001208,0.001208,0.001208
22,469.606,1.21065,1.13173,1.15051,0.76568,0.73333,0.82272,0.40563,1.70754,1.77513,1.35005,0.0011684,0.0011684,0.0011684
23,490.15,1.19095,1.15162,1.16375,0.91199,0.69108,0.77434,0.4043,1.64152,1.82741,1.34239,0.0011288,0.0011288,0.0011288
24,511.816,1.13266,1.05344,1.09621,0.83652,0.63333,0.67106,0.37828,1.56294,1.90792,1.34711,0.0010892,0.0010892,0.0010892
25,532.563,1.16085,1.06277,1.11712,0.86684,0.65136,0.72752,0.41591,1.57826,1.84568,1.39097,0.0010496,0.0010496,0.0010496
26,553.019,1.22601,1.10311,1.12966,0.82382,0.62377,0.71389,0.39633,1.70057,1.8876,1.39603,0.00101,0.00101,0.00101
27,573.379,1.22647,1.13758,1.17322,0.84957,0.56484,0.6835,0.39063,1.60232,1.96832,1.35273,0.0009704,0.0009704,0.0009704
28,595.027,1.15625,1.06841,1.09065,1,0.53315,0.73253,0.41195,1.6093,1.7566,1.36441,0.0009308,0.0009308,0.0009308
29,616.804,1.15625,0.99518,1.08858,0.85389,0.63333,0.73158,0.37722,1.62929,1.62978,1.34569,0.0008912,0.0008912,0.0008912
30,638.318,1.13555,1.00219,1.13257,0.7605,0.63512,0.7586,0.37688,1.65042,1.55434,1.31312,0.0008516,0.0008516,0.0008516
31,660.082,1.08841,0.97509,1.06039,0.87558,0.56667,0.74117,0.38221,1.66599,1.54593,1.2889,0.000812,0.000812,0.000812
32,681.782,1.06313,0.96929,1.07306,0.79425,0.64368,0.70315,0.37665,1.73715,1.47223,1.39021,0.0007724,0.0007724,0.0007724
33,703.27,1.0757,0.91449,1.06581,0.83267,0.66667,0.77513,0.43213,1.62788,1.33312,1.38362,0.0007328,0.0007328,0.0007328
34,724.612,1.03194,0.87131,1.03896,0.7945,0.73333,0.78459,0.45325,1.57299,1.33933,1.30456,0.0006932,0.0006932,0.0006932
35,746.176,1.03747,0.87876,1.0865,0.84584,0.73163,0.78731,0.4275,1.58883,1.33403,1.29799,0.0006536,0.0006536,0.0006536
36,768.392,1.02834,0.85645,1.05203,0.84098,0.73333,0.81049,0.4515,1.57554,1.30374,1.26894,0.000614,0.000614,0.000614
37,801.777,1.02525,0.85225,1.03697,0.81004,0.73333,0.79609,0.46925,1.54379,1.32,1.23101,0.0005744,0.0005744,0.0005744
38,823.06,1.03981,0.86907,1.08389,0.8306,0.6,0.7557,0.43816,1.66033,1.35883,1.27871,0.0005348,0.0005348,0.0005348
39,845.035,0.98123,0.82988,1.05357,0.75744,0.66667,0.76338,0.45427,1.64397,1.3572,1.27382,0.0004952,0.0004952,0.0004952
40,867.955,0.97389,0.83624,1.04384,0.81361,0.72771,0.79657,0.46868,1.5755,1.37346,1.23246,0.0004556,0.0004556,0.0004556
41,889.022,1.00431,0.99334,1.04398,0.83727,0.7,0.78676,0.45682,1.56745,1.35835,1.24066,0.000416,0.000416,0.000416
42,909.962,0.95238,0.95815,1.03018,0.80613,0.7,0.76786,0.46253,1.62453,1.46472,1.3011,0.0003764,0.0003764,0.0003764
